"coord.join8","Lat","Long","Year","Parrotfish"
1832,20.94616318,-156.6950989,2009,0
1833,20.94619296,-156.6949731,2010,8.69252771
1834,20.94622993,-156.6954801,2012,24.5097633
1835,20.9462471,-156.6952057,2008,0
1836,20.94628299,-156.6947862,2011,0
1837,20.94629372,-156.6949926,2012,24.22046396
1838,20.94630623,-156.695282,2009,0
1839,20.94634334,-156.6955181,2011,59.224888712
1840,20.94635963,-156.6951752,2008,0
1841,20.94637351,-156.6952655,2010,8.0727196
1842,20.94639397,-156.6945648,2009,0
1843,20.94639857,-156.6953635,2011,0
1844,20.94641113,-156.6954498,2008,4.8848008
1845,20.94643211,-156.6950226,2008,0
1846,20.94645197,-156.6950718,2011,44.75336514
1847,20.94647686,-156.6957629,2012,17.003942956
1848,20.94649203,-156.6955681,2012,14.3734338
1849,20.94651441,-156.6945934,2011,0
1850,20.9465155,-156.6934752,2011,0
1851,20.94654727,-156.6942995,2011,0
1852,20.94656168,-156.6943542,2012,22.14014
1853,20.94657761,-156.6955795,2010,2.204303112
1854,20.94681931,-156.6938629,2009,49.23435671
1855,20.94684029,-156.6941986,2009,0
1857,20.94691658,-156.693924,2008,36.137108146
1858,20.94697684,-156.6940984,2011,8.799271712
1859,20.94699268,-156.6943967,2012,5.384989456
1860,20.9470005,-156.6943054,2008,123.3014882
1861,20.9470418,-156.693561,2011,0
1862,20.94704406,-156.6939211,2011,27.3776844
1863,20.94706345,-156.694046,2009,53.95477153
1864,20.9470905,-156.6943033,2012,30.642362662
1865,20.94713375,-156.6941756,2012,11.635774716
1866,20.94714737,-156.6937714,2009,0
1867,20.94716501,-156.6943377,2011,19.2323824
1868,20.94717789,-156.6943512,2009,14.6765240666
1869,20.94717859,-156.6941381,2010,0
1870,20.94726484,-156.6942012,2011,34.135299704
1871,20.94730568,-156.6944733,2008,4.834562117
1872,20.94732896,-156.6944572,2011,5.64032238
1873,20.94738579,-156.6944981,2012,4.8848008
1874,20.94741865,-156.6943304,2011,12.173499534
1875,20.94748009,-156.6944734,2012,0
1876,20.9475018,-156.6937051,2011,60.549285412
1877,20.94750792,-156.6942397,2012,0
1878,20.94757841,-156.6943026,2011,0
1879,20.94762082,-156.6945533,2011,16.03928172
1880,20.94765301,-156.6938585,2012,14.63556901
1881,20.9477634,-156.694316,2012,7.050008256
1882,20.94777823,-156.6947257,2011,31.59209196
1883,20.94781201,-156.6945988,2010,0
1884,20.94783967,-156.6946748,2012,2.4424004
1885,20.94796562,-156.6939087,2009,0
1886,20.94799574,-156.6938858,2012,21.843722302
1888,20.94800377,-156.6942749,2009,0.0718179
1889,20.94801521,-156.6935883,2009,0
1890,20.94811058,-156.6940613,2008,2.4424004
1891,20.94811854,-156.6950731,2012,0
1892,20.94812692,-156.6945418,2010,0
1893,20.94813555,-156.6942351,2011,0
1894,20.94822398,-156.6940006,2010,64.73461295
1895,20.94824385,-156.694408,2010,0
1896,20.94827788,-156.6950007,2010,14.8737666
1897,20.94829054,-156.6949128,2012,2.4424004
1898,20.94832993,-156.6945953,2009,0
1899,20.94836438,-156.6941305,2012,94.37731688
1900,20.94837234,-156.6950759,2012,3.1628784
1901,20.94839908,-156.6941526,2010,1.571785358
1902,20.94840612,-156.6937986,2012,29.342616149
1903,20.94842255,-156.6932054,2012,17.012589
1904,20.94842911,-156.6939697,2008,0
1905,20.94851048,-156.6950749,2012,14.105679024
1906,20.94852858,-156.6939352,2010,0
